lease_id,property_id,property_name,asset_class,address,city,province,suite_unit,tenant_legal_name,tenant_dba,tenant_category,tenant_role,is_loblaw_banner,gla_sqft,lease_status,commencement_date,expiry_date,initial_term_years,base_rent_psf_year1,annual_base_rent_year1,monthly_base_rent_year1,rent_escalation_summary,rent_escalation_schedule,recovery_structure,additional_rent_psf_estimate,recovery_clause_text,percentage_rent_type,percentage_rent_breakpoint,percentage_rent_rate,percentage_rent_clause_text,renewal_options_count,renewal_option_years_each,renewal_clause_text,use_clause_text,exclusivity_type,exclusivity_clause_text,co_tenancy_type,co_tenancy_clause_text,radius_restriction_type,radius_restriction_clause_text,assignment_subletting_type,assignment_subletting_clause_text,early_termination_type,early_termination_clause_text,ti_allowance_summary,ti_allowance_clause_text,security_deposit_summary,security_deposit_clause_text,guarantor,anchor_tenant_at_property,lease_document_reference,abstracted_by,last_updated
CHP-LSE-00302,CHP-RET-1048,Nanaimo Marketplace,Retail,"2138 Queen St E, Nanaimo, BC",Nanaimo,BC,Anchor Premises,Metro Inc.,Metro Inc.,Grocery,Anchor,False,35609,Expired,2015-01-11,2025-01-10,10,17.73,631347.57,52612.3,Stepped — 8-12% bump every 5 years,Year 6: $19.56/sf | Year 11: $21.13/sf,Modified Net — capped CAM,$9.56/sf (CAM cap: 3.73% YoY),"Tenant pays Realty Taxes and Insurance on a fully net basis. CAM (excluding Realty Taxes, Insurance and Utilities) is capped at a maximum increase of 3.73% per Lease Year on a cumulative basis after the first full Lease Year. Excluded from CAM: capital expenditures, structural repairs, roof replacement, and management fees in excess of 4% of CAM.",6.92% over natural breakpoint,"$9,124,000.00",6.92%,"Tenant shall pay percentage rent equal to 6.92% of Gross Sales in excess of the Breakpoint of $9,124,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,2 km radius restriction,Tenant shall not operate a competing grocery store within a 2 km radius of the Premises during the initial Term.,Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",Tenant termination at year 10,"Tenant has a one-time right to terminate the Lease effective on the 10th anniversary of the Commencement Date, on 12 months prior written notice and payment of a Termination Fee equal to 6 months Minimum Rent plus unamortized Landlord's Work and TI Allowance.","$75/sf — $2,670,675.00 total","Landlord shall provide a Tenant Improvement Allowance of $75 per square foot of GLA (totaling $2,670,675.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Metro Inc. or parent entity,Metro Inc.,CHP-LEGAL/CHP-RET-1048/00302-Lease-and-Amendments.pdf,Property Mgmt,2025-10-09
CHP-LSE-00303,CHP-RET-1048,Nanaimo Marketplace,Retail,"2138 Queen St E, Nanaimo, BC",Nanaimo,BC,Anchor Premises,Provigo,Provigo,Grocery,Anchor,True,42346,Active,2011-04-22,2031-04-21,20,17.0,719882.0,59990.17,Stepped — 7.7% increase every 5 years,Year 6: $18.31/sf | Year 11: $19.72/sf | Year 16: $21.24/sf | Year 21: $22.88/sf,Triple Net (NNN),$13.66/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.28% over natural breakpoint,"$16,820,000.00",4.28%,"Tenant shall pay percentage rent equal to 4.28% of Gross Sales in excess of the Breakpoint of $16,820,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",6,5,"Tenant has the right to extend the Term for 6 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,8 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 8 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Provigo or parent entity,Metro Inc.,CHP-LEGAL/CHP-RET-1048/00303-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2026-10-10
CHP-LSE-00304,CHP-RET-1048,Nanaimo Marketplace,Retail,"2138 Queen St E, Nanaimo, BC",Nanaimo,BC,Unit E19,Rogers Inc.,Rogers,Telecom,CRU,False,1140,Expired (holdover),2011-06-04,2018-06-03,7,71.17,81133.8,6761.15,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$10.74/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a retail telecommunications store, including the sale and activation of mobile devices, wireless plans, and accessories.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$15/sf — $17,100.00 total","Landlord shall provide a Tenant Improvement Allowance of $15 per square foot of GLA (totaling $17,100.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.","3 months (20,283.45)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($20,283.45), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Metro Inc.,CHP-LEGAL/CHP-RET-1048/00304-Lease-and-Amendments.pdf,Legal Team,2025-02-03
CHP-LSE-00305,CHP-RET-1048,Nanaimo Marketplace,Retail,"2138 Queen St E, Nanaimo, BC",Nanaimo,BC,Unit A10,Sylvan Learning Inc.,Sylvan Learning,Education,CRU,False,2512,Active,2024-11-14,2031-11-13,7,32.28,81087.36,6757.28,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$15.23/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a supplemental learning and tutoring centre for school-aged children, including reading, mathematics, and test preparation services.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,"$15/sf — $37,680.00 total","Landlord shall provide a Tenant Improvement Allowance of $15 per square foot of GLA (totaling $37,680.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.","1 months (6,757.28)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 1 months Minimum Rent ($6,757.28), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 48 months of Term,Metro Inc.,CHP-LEGAL/CHP-RET-1048/00305-Lease-and-Amendments.pdf,Property Mgmt,2026-05-24
CHP-LSE-00306,CHP-RET-1048,Nanaimo Marketplace,Retail,"2138 Queen St E, Nanaimo, BC",Nanaimo,BC,Unit C29,Starbucks Inc.,Starbucks,Cafe,CRU,False,1130,Expired,2012-01-11,2022-01-10,10,32.23,36419.9,3034.99,Annual fixed escalator of 2.18% per year,2.18% annual,Triple Net (NNN),$13.66/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.95% over natural breakpoint,"$736,000.00",4.95%,"Tenant shall pay percentage rent equal to 4.95% of Gross Sales in excess of the Breakpoint of $736,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a specialty coffee shop and cafe, including the sale of espresso-based beverages, brewed coffee, tea, baked goods, light meals, and packaged coffee for off-premises consumption.",None,Tenant has no exclusivity rights under this Lease.,Ongoing,"If Metro Inc. ceases operations and the premises remain dark for more than 180 consecutive days, Tenant shall pay reduced rent equal to the lesser of (i) Minimum Rent or (ii) 4% of Gross Sales until a Replacement Anchor (a national/regional grocery chain operating ≥25,000 sf) opens. If no Replacement Anchor opens within 18 months, Tenant may terminate on 60 days' notice.",None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,"$65/sf — $73,450.00 total","Landlord shall provide a Tenant Improvement Allowance of $65 per square foot of GLA (totaling $73,450.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","1 months (3,034.99)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 1 months Minimum Rent ($3,034.99), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Metro Inc.,CHP-LEGAL/CHP-RET-1048/00306-Lease-and-Amendments.pdf,Legal Team,2024-01-24
CHP-LSE-00307,CHP-RET-1049,Vancouver East,Retail,"4138 Hurontario St, Vancouver, BC",Vancouver,BC,Anchor Premises,Your Independent Grocer,Your Independent Grocer,Grocery,Anchor,True,70035,Expired (holdover),2008-07-07,2023-07-06,15,18.69,1308954.15,109079.51,Stepped — 7.7% increase every 5 years,Year 6: $20.13/sf | Year 11: $21.68/sf | Year 16: $23.35/sf,Modified Net — capped CAM,$8.23/sf (CAM cap: 4.19% YoY),"Tenant pays Realty Taxes and Insurance on a fully net basis. CAM (excluding Realty Taxes, Insurance and Utilities) is capped at a maximum increase of 4.19% per Lease Year on a cumulative basis after the first full Lease Year. Excluded from CAM: capital expenditures, structural repairs, roof replacement, and management fees in excess of 4% of CAM.",5.77% over natural breakpoint,"$22,686,000.00",5.77%,"Tenant shall pay percentage rent equal to 5.77% of Gross Sales in excess of the Breakpoint of $22,686,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",5,5,"Tenant has the right to extend the Term for 5 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,3 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 3 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$50/sf — $3,501,750.00 total","Landlord shall provide a Tenant Improvement Allowance of $50 per square foot of GLA (totaling $3,501,750.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Your Independent Grocer or parent entity,Your Independent Grocer,CHP-LEGAL/CHP-RET-1049/00307-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2026-04-10
CHP-LSE-00308,CHP-RET-1049,Vancouver East,Retail,"4138 Hurontario St, Vancouver, BC",Vancouver,BC,Unit E14,Vancouver Dental Inc.,Vancouver Dental,Apparel,CRU,False,4248,Active,2018-12-16,2028-12-15,10,51.6,219196.8,18266.4,Annual fixed escalator of 2.78% per year,2.78% annual,Triple Net (NNN),$14.97/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",3.47% over natural breakpoint,"$6,317,000.00",3.47%,"Tenant shall pay percentage rent equal to 3.47% of Gross Sales in excess of the Breakpoint of $6,317,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.",Operation of a retail apparel and accessories store.,None,Tenant has no exclusivity rights under this Lease.,Opening,"If Your Independent Grocer is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$65/sf — $276,120.00 total","Landlord shall provide a Tenant Improvement Allowance of $65 per square foot of GLA (totaling $276,120.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.","3 months (54,799.20)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($54,799.20), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 24 months of Term,Your Independent Grocer,CHP-LEGAL/CHP-RET-1049/00308-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2024-06-28
CHP-LSE-00309,CHP-RET-1049,Vancouver East,Retail,"4138 Hurontario St, Vancouver, BC",Vancouver,BC,Unit F03,LCBO Inc.,LCBO,Liquor,CRU,False,1246,Expired,2014-09-11,2024-09-10,10,71.12,88615.52,7384.63,Stepped — 8-12% bump every 5 years,Year 6: $79.56/sf | Year 11: $86.47/sf,Triple Net (NNN),$12.51/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a retail liquor store for the sale of beer, wine, spirits and related accessories in compliance with applicable provincial liquor regulations.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,"3 months (22,153.88)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($22,153.88), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Your Independent Grocer,CHP-LEGAL/CHP-RET-1049/00309-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2024-03-16
CHP-LSE-00310,CHP-RET-1049,Vancouver East,Retail,"4138 Hurontario St, Vancouver, BC",Vancouver,BC,Anchor Premises,Provigo,Provigo,Grocery,Anchor,True,42104,Active,2021-04-09,2036-04-08,15,21.57,908183.28,75681.94,Stepped — 7.7% increase every 5 years,Year 6: $23.23/sf | Year 11: $25.02/sf | Year 16: $26.95/sf,Modified Net — capped CAM,$7.23/sf (CAM cap: 4.3% YoY),"Tenant pays Realty Taxes and Insurance on a fully net basis. CAM (excluding Realty Taxes, Insurance and Utilities) is capped at a maximum increase of 4.3% per Lease Year on a cumulative basis after the first full Lease Year. Excluded from CAM: capital expenditures, structural repairs, roof replacement, and management fees in excess of 4% of CAM.",5.2% over natural breakpoint,"$17,465,000.00",5.2%,"Tenant shall pay percentage rent equal to 5.2% of Gross Sales in excess of the Breakpoint of $17,465,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",4,5,"Tenant has the right to extend the Term for 4 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,8 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 8 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$50/sf — $2,105,200.00 total","Landlord shall provide a Tenant Improvement Allowance of $50 per square foot of GLA (totaling $2,105,200.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Provigo or parent entity,Your Independent Grocer,CHP-LEGAL/CHP-RET-1049/00310-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2025-02-21
CHP-LSE-00311,CHP-RET-1050,Trois-Rivieres Marketplace,Retail,"2712 Lakeshore Rd, Trois-Rivieres, QC",Trois-Rivieres,QC,Anchor Premises,Metro Inc.,Metro Inc.,Grocery,Anchor,False,74821,Active,2022-07-12,2042-07-11,20,15.72,1176186.12,98015.51,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Modified Net — capped CAM,$7.61/sf (CAM cap: 4.93% YoY),"Tenant pays Realty Taxes and Insurance on a fully net basis. CAM (excluding Realty Taxes, Insurance and Utilities) is capped at a maximum increase of 4.93% per Lease Year on a cumulative basis after the first full Lease Year. Excluded from CAM: capital expenditures, structural repairs, roof replacement, and management fees in excess of 4% of CAM.",6.15% over natural breakpoint,"$19,125,000.00",6.15%,"Tenant shall pay percentage rent equal to 6.15% of Gross Sales in excess of the Breakpoint of $19,125,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,5 km radius restriction,Tenant shall not operate a competing grocery store within a 5 km radius of the Premises during the initial Term.,Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$35/sf — $2,618,735.00 total","Landlord shall provide a Tenant Improvement Allowance of $35 per square foot of GLA (totaling $2,618,735.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Metro Inc. or parent entity,Metro Inc.,CHP-LEGAL/CHP-RET-1050/00311-Lease-and-Amendments.pdf,Property Mgmt,2024-05-15
CHP-LSE-00312,CHP-RET-1050,Trois-Rivieres Marketplace,Retail,"2712 Lakeshore Rd, Trois-Rivieres, QC",Trois-Rivieres,QC,Unit B21,Scotiabank Inc.,Scotiabank,Bank,CRU,False,2386,Expired,2011-04-13,2018-04-12,7,68.01,162271.86,13522.65,Annual fixed escalator of 2.41% per year,2.41% annual,Triple Net (NNN),$15.07/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a full-service retail banking branch, including ATM services, safe deposit boxes, financial advisory services, mortgage origination, and small business banking.",Limited,No other full-service retail bank branch shall be permitted within the Shopping Centre during the initial Term. ATMs operated by other financial institutions are permitted.,Ongoing,"If Metro Inc. ceases operations and the premises remain dark for more than 180 consecutive days, Tenant shall pay reduced rent equal to the lesser of (i) Minimum Rent or (ii) 4% of Gross Sales until a Replacement Anchor (a national/regional grocery chain operating ≥25,000 sf) opens. If no Replacement Anchor opens within 18 months, Tenant may terminate on 60 days' notice.",None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$35/sf — $83,510.00 total","Landlord shall provide a Tenant Improvement Allowance of $35 per square foot of GLA (totaling $83,510.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.","3 months (40,567.96)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($40,567.96), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Metro Inc.,CHP-LEGAL/CHP-RET-1050/00312-Lease-and-Amendments.pdf,Property Mgmt,2025-01-05
CHP-LSE-00313,CHP-RET-1050,Trois-Rivieres Marketplace,Retail,"2712 Lakeshore Rd, Trois-Rivieres, QC",Trois-Rivieres,QC,Unit B29,Kumon Inc.,Kumon,Education,CRU,False,3159,Active,2018-09-11,2028-09-10,10,54.16,171091.44,14257.62,"CPI-indexed annually, floor 2.0% / cap 5.0%",CPI annual,Triple Net (NNN),$10.51/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a supplemental learning and tutoring centre for school-aged children, including reading, mathematics, and test preparation services.",None,Tenant has no exclusivity rights under this Lease.,Opening,"If Metro Inc. is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,"$65/sf — $205,335.00 total","Landlord shall provide a Tenant Improvement Allowance of $65 per square foot of GLA (totaling $205,335.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","6 months (85,545.72)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 6 months Minimum Rent ($85,545.72), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 36 months of Term,Metro Inc.,CHP-LEGAL/CHP-RET-1050/00313-Lease-and-Amendments.pdf,Legal Team,2026-08-17
